x31.59528323985101; y57.69324543967173; r-90.98254143646419; vx0.05307551168353086; vy0.60238209010069; vr-0.09546961325969505;
x31.601558037180872; y58.1795321266847; r-90.99447513812164; vx-0.04025697289580421; vy0.649231959649569; vr0.04773480662987595;
x31.570663515576427; y58.824815805373454; r-90.93480662983436; vx-0.010279575078044445; vy0.6788465343629753; vr0.047734806629819104;
x31.588604480137068; y59.2618898471836; r-90.95867403314926; vx0.03120907633223169; vy0.5876707028538704; vr-0.047734806629819104;
x31.591964031462968; y59.9895292026433; r-90.9228729281769; vx0.06765111586673456; vy2.951129525452224; vr0.10740331491709298;
x31.611648756283532; y60.407726536731325; r-90.93480662983436; vx0.010332853785101292; vy0.6332607844957465; vr5.6843418860808015E-14;
x31.636089124163558; y60.90879039909545; r-90.97060773480673; vx0.011750308938047738; vy0.6935641286489442; vr0.0;
x31.638922794182147; y61.395130719467204; r-90.95867403314926; vx0.012615055970375266; vy0.7538766967254062; vr0.0;
x31.63681222737181; y61.91548659873504; r-90.93480662983436; vx0.013531118051908209; vy0.829270074934918; vr7.105427357601002E-14;
x31.627181331118706; y62.654639060358484; r-90.88707182320452; vx-0.03802020359785274; vy3.0169146927372026; vr0.19093922651927642;
x31.689254172679597; y63.238058700208924; r-90.97060773480675; vx0.04139438805592022; vy0.6628982835364923; vr0.0;
x31.677074831954364; y63.796288562913624; r-90.9228729281769; vx-0.006976682034817827; vy0.8899313067491335; vr0.047734806629819104;
x31.68571191864762; y64.25991268247527; r-90.95867403314926; vx0.001552225475975888; vy0.6183241966269861; vr-0.047734806629819104;
x31.659834682454804; y64.71279253073061; r-90.93480662983437; vx-0.021790584292801896; vy0.5131317233434629; vr0.0;
x31.650062283835908; y65.1088430833386; r-90.89900552486199; vx0.00851756622213884; vy0.5428003862797937; vr0.0;
x31.64541205097243; y65.50103396018773; r-90.87513812154708; vx-0.012854197205854234; vy0.558212761294044; vr0.04773480662976226;
x31.662726414112104; y65.92304876425004; r-90.89900552486196; vx0.007452870444353721; vy0.47495033799479813; vr8.526512829121202E-14;
x31.6708405438599; y66.3037320306523; r-90.88707182320451; vx-0.013684327289027465; vy0.49790427245773117; vr0.047734806629819104;
x31.698956610800593; y66.7255717444191; r-90.93480662983436; vx0.051614673028538505; vy0.542115144209049; vr-0.09546961325969505;
x31.72161593553446; y67.12109200736803; r-90.9706077348067; vx0.022741704474675828; vy0.3955155405509885; vr-0.03580110497236433;
x31.693795843056247; y67.52499083854457; r-90.91093922651942; vx0.008151142807435008; vy0.5126431226444197; vr-5.6843418860808015E-14;
x31.697926292626608; y67.9208165349205; r-90.92287292817686; vx0.008743676995621286; vy0.5427967910667917; vr0.0;
x31.704965938551116; y68.35807291990292; r-90.92287292817686; vx-0.012881169912034807; vy0.5280680013229926; vr0.04773480662987595;
x31.721966820668552; y68.82158059136083; r-90.9109392265194; vx0.09596503037026594; vy0.6621337802693006; vr-0.19093922651933326;
x31.74228523061838; y69.28501520793289; r-90.92287292817689; vx0.008015037245964862; vy0.49756372514455904; vr0.0;
x31.76782526333573; y69.7295089894558; r-90.9467403314918; vx0.03157871485652208; vy0.6178324658598626; vr-0.04773480662976226;
x31.75358818380929; y70.16711478132937; r-90.89900552486195; vx-0.07550248094406697; vy0.6346792477385179; vr0.1909392265193901;
x31.808571970894793; y70.56212536313164; r-91.00640883977911; vx0.006753995518614886; vy0.3844716218092117; vr-8.526512829121202E-14;
x31.804580253226643; y70.94678575439634; r-90.98254143646417; vx-0.025483144041626105; vy0.3850379301757272; vr0.07160220994472866;
x31.7844953171238; y71.3505621476648; r-90.92287292817689; vx-0.012881169912034807; vy0.5280680013229926; vr0.04773480662987595;
x31.786439612094757; y71.80674925765314; r-90.91093922651943; vx0.0068325755885432216; vy0.42971555868720657; vr0.0;
x31.803095511168664; y72.24762135059413; r-90.89900552486199; vx0.008990764345597313; vy0.5729559632953283; vr-1.1368683772161603E-13;
x31.812033770158365; y72.68107424863452; r-90.88707182320451; vx0.008871427516368158; vy0.5729578234852966; vr5.6843418860808015E-14;
x31.841532817590426; y73.18584273178402; r-90.93480662983437; vx0.030964270719351816; vy0.5876836524671489; vr-0.04773480662987595;
x31.843601962169085; y73.64202894322568; r-90.92287292817691; vx-0.0123891292555669; vy0.558223276775152; vr0.04773480662976226;
x31.844910793548795; y74.06052228395721; r-90.91093922651943; vx0.009110100784752717; vy0.5729540782496656; vr0.0;
x31.809397298007585; y74.52862510235039; r-90.81546961325978; vx-0.22690808732026113; vy0.9274032301172497; vr0.537016574585607;
x31.872790621696357; y75.01408550808095; r-90.92287292817691; vx0.009229436828704252; vy0.5729521683483085; vr-5.6843418860808015E-14;
x31.898271001412027; y75.45858116524882; r-90.94674033149184; vx0.03108667420009681; vy0.5876771904076463; vr-0.04773480662993279;
x31.916586705318952; y75.91072846595691; r-90.97060773480675; vx0.010217659946150093; vy0.6030992423034718; vr0.0;
x31.897738076935457; y76.38988847916134; r-90.91093922651947; vx-0.033142949670533994; vy0.6038068708632522; vr0.09546961325958137;
x31.895558178069376; y76.86122159955583; r-90.92287292817691; vx0.010200956494827551; vy0.6332629229112285; vr0.0;
